sku,name,url,image_url,price,currency,brand,category_id,variant_group_id,size,color,material,model,age_group,gender,operation
SKU123,Product A,http://example.com/productA,http://example.com/images/productA.jpg,49.99,USD,Brand X,123,456,Large,Blue,Cotton,Model 1,Adult,Male,INSERT
SKU456,Product B,http://example.com/productB,http://example.com/images/productB.jpg,19.99,USD,Brand Y,234,567,Medium,Red,Polyester,Model 2,Child,Female,INSERT
SKU789,Product C,http://example.com/productC,http://example.com/images/productC.jpg,79.99,USD,Brand Z,345,678,Small,Green,Nylon,Model 3,Adult,Female,INSERT
SKU101,Product D,http://example.com/productD,http://example.com/images/productD.jpg,29.99,USD,Brand A,456,789,X-Large,Black,Leather,Model 4,Child,Male,INSERT
SKU202,Product E,http://example.com/productE,http://example.com/images/productE.jpg,59.99,USD,Brand B,567,890,Small,White,Silk,Model 5,Adult,Unisex,INSERT
SKU303,Product F,http://example.com/productF,http://example.com/images/productF.jpg,69.99,USD,Brand C,678,901,Medium,Yellow,Linen,Model 6,Child,Female,INSERT
SKU404,Product G,http://example.com/productG,http://example.com/images/productG.jpg,39.99,USD,Brand D,789,012,Large,Gray,Wool,Model 7,Adult,Male,INSERT
SKU505,Product H,http://example.com/productH,http://example.com/images/productH.jpg,89.99,USD,Brand E,890,123,X-Large,Brown,Leather,Model 8,Child,Unisex,INSERT
SKU606,Product I,http://example.com/productI,http://example.com/images/productI.jpg,49.99,USD,Brand F,901,234,Small,Orange,Cotton,Model 9,Adult,Female,INSERT
SKU707,Product J,http://example.com/productJ,http://example.com/images/productJ.jpg,29.99,USD,Brand G,012,345,Medium,Purple,Silk,Model 10,Child,Male,INSERT
SKU808,Product K,http://example.com/productK,http://example.com/images/productK.jpg,59.99,USD,Brand H,123,456,Large,Green,Polyester,Model 11,Adult,Male,INSERT
SKU909,Product L,http://example.com/productL,http://example.com/images/productL.jpg,79.99,USD,Brand I,234,567,X-Large,Red,Wool,Model 12,Child,Female,INSERT
SKU1010,Product M,http://example.com/productM,http://example.com/images/productM.jpg,39.99,USD,Brand J,345,678,Small,Blue,Nylon,Model 13,Adult,Female,INSERT
SKU1111,Product N,http://example.com/productN,http://example.com/images/productN.jpg,69.99,USD,Brand K,456,789,Medium,Black,Leather,Model 14,Child,Male,INSERT
SKU1212,Product O,http://example.com/productO,http://example.com/images/productO.jpg,49.99,USD,Brand L,567,890,Large,Yellow,Cotton,Model 15,Adult,Unisex,INSERT
SKU1313,Product P,http://example.com/productP,http://example.com/images/productP.jpg,29.99,USD,Brand M,678,901,Small,Brown,Silk,Model 16,Child,Female,INSERT
SKU1414,Product Q,http://example.com/productQ,http://example.com/images/productQ.jpg,59.99,USD,Brand N,789,012,Medium,Orange,Wool,Model 17,Adult,Male,INSERT
SKU1515,Product R,http://example.com/productR,http://example.com/images/productR.jpg,79.99,USD,Brand O,890,123,X-Large,Purple,Polyester,Model 18,Child,Unisex,INSERT
SKU1616,Product S,http://example.com/productS,http://example.com/images/productS.jpg,39.99,USD,Brand P,901,234,Small,Gray,Nylon,Model 19,Adult,Female,INSERT
SKU1717,Product T,http://example.com/productT,http://example.com/images/productT.jpg,89.99,USD,Brand Q,012,345,Large,White,Linen,Model 20,Child,Male,INSERT
